event_id,name,group_name,num_members,category_name,weight,year,month,dow
242740126,"Sigils, Seals, and Symbols - Sigil Magic Class with Papa Gee","Nashville Metaphysical, New Age, and Psychic Meetup",285,New Age & Spirituality,248,2017,10,5
bdvgnmywnbkc,Metaphysical Fridays with Kyndyll Lackey,"Nashville Metaphysical, New Age, and Psychic Meetup",285,New Age & Spirituality,248,2017,10,4
243120133,Celebrating Samhain: Magic at the Witches' New Year with Kiki,"Nashville Metaphysical, New Age, and Psychic Meetup",285,New Age & Spirituality,248,2017,10,6
zbgwrmywnbdc,Psychic Sundays with Kiki Dombrowski,"Nashville Metaphysical, New Age, and Psychic Meetup",285,New Age & Spirituality,248,2017,10,6
tbnnlnywnbcc,Henna with Heidi Blanchard Wooten,"Nashville Metaphysical, New Age, and Psychic Meetup",285,New Age & Spirituality,248,2017,10,5
bdvgnmywnbbc,Metaphysical Fridays with Kyndyll Lackey,"Nashville Metaphysical, New Age, and Psychic Meetup",285,New Age & Spirituality,248,2017,10,4
zbgwrmywnbtb,Psychic Sundays with Gina Griffiths,"Nashville Metaphysical, New Age, and Psychic Meetup",285,New Age & Spirituality,248,2017,10,6
bdvgnmywnbrb,Metaphysical Fridays with Kiki Dombrowski,"Nashville Metaphysical, New Age, and Psychic Meetup",285,New Age & Spirituality,248,2017,10,4
zbgwrmywnblb,Psychic Sundays with Heather Meyernick,"Nashville Metaphysical, New Age, and Psychic Meetup",285,New Age & Spirituality,248,2017,10,6
240420062,Tennessee Folk Magic Fest 2017,"Nashville Metaphysical, New Age, and Psychic Meetup",285,New Age & Spirituality,248,2017,10,5
