event_id,group_id,name,time
dkwpqywdbjb,1037384,Weekly tournament,07-02-2017 00:30
dkwpqywcbnc,1037384,Weekly tournament,31-01-2017 00:30
dkwpqywcbfc,1037384,Weekly tournament,24-01-2017 00:30
dkwpqywcbvb,1037384,Weekly tournament,17-01-2017 00:30
dkwpqywcbmb,1037384,Weekly tournament,10-01-2017 00:30
dkwpqywcbdb,1037384,Weekly tournament,03-01-2017 00:30
dkwpqyvqbjc,1037384,Weekly tournament,27-12-2016 00:30
dkwpqyvqbzb,1037384,Weekly tournament,20-12-2016 00:30
dkwpqyvqbqb,1037384,Weekly tournament,13-12-2016 00:30
dkwpqyvqbhb,1037384,Weekly tournament,06-12-2016 00:30
dkwpqyvpblc,1037384,Weekly tournament,29-11-2016 00:30
dkwpqyvpbcc,1037384,Weekly tournament,22-11-2016 00:30
dkwpqyvpbsb,1037384,Weekly tournament,15-11-2016 00:30
dkwpqyvpbkb,1037384,Weekly tournament,08-11-2016 00:30
dkwpqyvnbpc,1037384,Weekly tournament,31-10-2016 23:30
dkwpqyvnbgc,1037384,Weekly tournament,24-10-2016 23:30
dkwpqyvnbwb,1037384,Weekly tournament,17-10-2016 23:30
dkwpqyvnbnb,1037384,Weekly tournament,10-10-2016 23:30
dkwpqyvnbfb,1037384,Weekly tournament,03-10-2016 23:30
dkwpqyvmbjc,1037384,Weekly tournament,26-09-2016 23:30
dkwpqyvmbzb,1037384,Weekly tournament,19-09-2016 23:30
dkwpqyvmbqb,1037384,Weekly tournament,12-09-2016 23:30
dkwpqyvmbhb,1037384,Weekly tournament,05-09-2016 23:30
dkwpqyvlbmc,1037384,Weekly tournament,29-08-2016 23:30
dkwpqyvlbdc,1037384,Weekly tournament,22-08-2016 23:30
dkwpqyvlbtb,1037384,Weekly tournament,15-08-2016 23:30
dkwpqyvlblb,1037384,Weekly tournament,08-08-2016 23:30
dkwpqyvlbcb,1037384,Weekly tournament,01-08-2016 23:30
dkwpqyvkbhc,1037384,Weekly tournament,25-07-2016 23:30
dkwpqyvkbxb,1037384,Weekly tournament,18-07-2016 23:30
dkwpqyvkbpb,1037384,Weekly tournament,11-07-2016 23:30
dkwpqyvkbgb,1037384,Weekly tournament,04-07-2016 23:30
dkwpqyvjbkc,1037384,Weekly tournament,27-06-2016 23:30
dkwpqyvjbbc,1037384,Weekly tournament,20-06-2016 23:30
dkwpqyvjbrb,1037384,Weekly tournament,13-06-2016 23:30
dkwpqyvjbjb,1037384,Weekly tournament,06-06-2016 23:30
dkwpqyvhbnc,1037384,Weekly tournament,30-05-2016 23:30
dkwpqyvhbfc,1037384,Weekly tournament,23-05-2016 23:30
dkwpqyvhbvb,1037384,Weekly tournament,16-05-2016 23:30
dkwpqyvhbmb,1037384,Weekly tournament,09-05-2016 23:30
dkwpqyvhbdb,1037384,Weekly tournament,02-05-2016 23:30
dkwpqyvgbhc,1037384,Weekly tournament,25-04-2016 23:30
dkwpqyvgbxb,1037384,Weekly tournament,18-04-2016 23:30
dkwpqyvgbpb,1037384,Weekly tournament,11-04-2016 23:30
dkwpqyvgbgb,1037384,Weekly tournament,04-04-2016 23:30
dkwpqyvfblc,1037384,Weekly tournament,28-03-2016 23:30
dkwpqyvfbcc,1037384,Weekly tournament,21-03-2016 23:30
dkwpqyvfbsb,1037384,Weekly tournament,14-03-2016 23:30
dkwpqyvfbkb,1037384,Weekly tournament,08-03-2016 00:30
dkwpqyvdbmc,1037384,Weekly tournament,01-03-2016 00:30
dkwpqyvdbdc,1037384,Weekly tournament,23-02-2016 00:30
dkwpqyvdbtb,1037384,Weekly tournament,16-02-2016 00:30
dkwpqyvdblb,1037384,Weekly tournament,09-02-2016 00:30
dkwpqyvdbcb,1037384,Weekly tournament,02-02-2016 00:30
dkwpqyvcbhc,1037384,Weekly tournament,26-01-2016 00:30
dkwpqyvcbxb,1037384,Weekly tournament,19-01-2016 00:30
dkwpqyvcbpb,1037384,Weekly tournament,12-01-2016 00:30
